统计时间,dR_t,tb_t,fdi_t,val_t,resid_t
2015-01,-0.029603999999999964,0.0496,,-4.6749455064996675e-18,0.07920399999999997
2015-02,-0.011911000000000005,0.06002999999999999,,6.207347666356812e-18,0.071941
2015-03,-0.07146500000000033,0.0606,,-3.8885436653956794e-19,0.13206500000000032
2015-04,0.01810400000000012,0.0030800000000000003,,7.875512129096413e-19,-0.01502400000000012
2015-05,-0.03699899999999978,0.03413,,3.847527052043815e-19,0.07112899999999978
2015-06,-0.017304999999999904,0.059489999999999994,,1.0798509516845991e-18,0.07679499999999989
2015-07,-0.0425279999999999,0.04654,,-3.635280193725428e-19,0.0890679999999999
2015-08,-0.09392900000000015,0.04303,,4.206951712085178e-20,0.13695900000000016
2015-09,-0.043261000000000216,0.060239999999999995,,-4.664207690840254e-19,0.1035010000000002
2015-10,0.01138700000000048,0.06034,,4.0523369081495683e-19,0.04895299999999952
2015-11,-0.08722300000000072,0.06164,,1.657831318250836e-19,0.14886300000000072
2015-12,-0.10792199999999941,0.0541,,1.7772332170606688e-19,0.16202199999999942
2016-01,-0.09946900000000003,0.06009,,-8.233887308343736e-19,0.15955900000000003
2016-02,-0.028572000000000042,0.06329,,-8.493100573663326e-19,0.09186200000000004
2016-03,0.010258000000000322,0.03259,,2.2942358504217806e-19,0.02233199999999968
2016-04,0.007088999999999679,0.02986,,2.796188844340679e-19,0.022771000000000322
2016-05,-0.027931999999999846,0.04556,,5.917750263945825e-20,0.07349199999999985
2016-06,0.013425999999999938,0.049980000000000004,,-1.6840716191680695e-18,0.036554000000000066
2016-07,-0.004105000000000025,0.04811,,-2.5225899279221087e-19,0.052215000000000025
2016-08,-0.015890000000000182,0.05231,,1.0737922393602888e-18,0.06820000000000018
2016-09,-0.01878499999999983,0.05205,,1.3171208141502192e-19,0.07083499999999983
2016-10,-0.045727000000000295,0.04199,,1.5531445264167393e-18,0.0877170000000003
2016-11,-0.06905699999999992,0.04906,,1.6680171402127772e-18,0.11811699999999992
2016-12,-0.041081000000000145,0.044610000000000004,,-3.3027195722705456e-20,0.08569100000000016
2017-01,-0.012312999999999796,0.04082,,1.5574040729603565e-21,0.0531329999999998
2017-02,0.006920000000000481,0.05135,,3.103637226613577e-20,0.04442999999999952
2017-03,0.0039639999999998565,-0.00915,,-1.607837137825636e-20,-0.013113999999999857
2017-04,0.020445000000000046,0.02392,,4.069051639324977e-20,0.003474999999999954
2017-05,0.024033999999999445,0.03805,,3.686309323950999e-20,0.014016000000000556
2017-06,0.003222000000000058,0.04081,,-5.358654226624863e-20,0.03758799999999994
2017-07,0.023931000000000147,0.042769999999999996,,5.3912971934985354e-21,0.01883899999999985
2017-08,0.010807000000000233,0.04674,,7.939400340296897e-20,0.035932999999999764
2017-09,0.01698299999999975,0.04199,,-1.2711265162356122e-19,0.02500700000000025
2017-10,0.0007030000000001202,0.02847,,-1.6492339493772667e-20,0.02776699999999988
2017-11,0.01006399999999985,0.038169999999999996,,-1.1527191244929916e-20,0.028106000000000145
2017-12,0.020672000000000246,0.04021,,6.302933855232284e-21,0.019537999999999757
2018-01,0.02150799999999986,0.054689999999999996,,-8.865483594661025e-20,0.033182000000000135
2018-02,-0.026975000000000193,0.02034,,-1.4713467193249647e-20,0.04731500000000019
2018-03,0.008338000000000179,0.03374,,8.640997729254125e-21,0.02540199999999982
2018-04,-0.017967999999999762,-0.00498,,-1.775615117325289e-20,0.012987999999999762
2018-05,-0.01422900000000027,0.02878,,5.481379756181318e-21,0.04300900000000027
2018-06,0.0015060000000000073,0.024919999999999998,,-1.5386432467577255e-21,0.02341399999999999
2018-07,0.005816999999999961,0.04161,,-6.278747905122717e-21,0.03579300000000004
2018-08,-0.008229999999999738,0.02805,,4.079875239023497e-21,0.036279999999999736
2018-09,-0.022691000000000017,0.02791,,-9.600007077397265e-21,0.05060100000000002
2018-10,-0.03392700000000026,0.031689999999999996,,-3.0217453059135086e-21,0.06561700000000026
2018-11,0.008599000000000245,0.03402,,3.3384971615591335e-21,0.025420999999999756
2018-12,0.011014999999999997,0.044739999999999995,,9.964343192314329e-21,0.033725
2019-01,0.015212000000000003,0.05706,,3.3751240256424513e-21,0.041847999999999996
2019-02,0.0022560000000000358,0.03916,,-5.9002097998266766e-21,0.036903999999999965
2019-03,0.00858099999999995,0.00412,,1.4758738265569332e-20,-0.004460999999999949
2019-04,-0.0038080000000002556,0.03265,,-7.8121294311824e-21,0.036458000000000254
2019-05,0.006051000000000251,0.01384,,2.2435937047753167e-20,0.007788999999999749
2019-06,0.01822999999999997,0.04165,,1.5794181655855384e-20,0.02342000000000003
2019-07,-0.015537000000000134,0.050980000000000004,,-2.7720716745979176e-21,0.06651700000000013
2019-08,0.00347900000000001,0.04506,,7.045333254552816e-20,0.04158099999999999
2019-09,-0.014745000000000008,0.03483,,-5.16376266215898e-20,0.04957500000000001
2019-10,0.012729999999999908,0.03965,,-1.1171515295746907e-21,0.02692000000000009
2019-11,-0.009569999999999634,0.04281,,-1.5872839301957696e-20,0.052379999999999635
2019-12,0.012332999999999927,0.03873,,-1.8988641540267143e-20,0.026397000000000073
2020-01,0.00757299999999983,0.04679,,4.1141629758538025e-20,0.03921700000000017
2020-02,-0.008779000000000092,0.03916,,7.027761580844994e-20,0.04793900000000009
2020-03,-0.04608499999999971,-0.007090000000000001,,1.4286696058751612e-19,0.03899499999999971
2020-04,0.030825999999999798,0.01993,,4.1095343612937015e-20,-0.010895999999999798
2020-05,0.010232999999999937,0.04534,,-6.537125599470149e-21,0.03510700000000006
2020-06,0.010635999999999868,0.06293,,-4.650042606103812e-21,0.05229400000000013
2020-07,0.042063000000000184,0.046419999999999996,,8.305244501098608e-20,0.004356999999999812
2020-08,0.01021800000000006,0.062329999999999997,,-1.4673110140154486e-19,0.052111999999999936
2020-09,-0.02204700000000015,0.058929999999999996,,1.5747979801778127e-20,0.08097700000000015
2020-10,-0.014580000000000037,0.037,,-1.123942641695347e-19,0.051580000000000036
2020-11,0.05050800000000022,0.05844,,1.3772735808721035e-20,0.00793199999999978
2020-12,0.03803200000000029,0.07542,,-3.2705801128758726e-20,0.03738799999999971
